education,identity,known_relatives,link,name,other_aliases,place_of_origin,universe
Tutored by minor goddesses,No dual identity,"Zeus (father), Leto (mother), Hera (step-mother), Artemis (sister), Poseidon, Hades (uncles), Heracles, Ares, Hephaestus, Hermes, Dionysus (half-brothers), Aphrodite, Pallas Athena, Eileithyia, Hebe, Discord, Helen, Pandia,  Persephone (half-sisters), Janus, Asclepius (sons)",https://www.marvel.com/characters/apollo,Apollo,"Paul Belvedere, Renee Andre, impersonated Marvin Klee","Mount Cynthus, Isle of Delos, Greece",Marvel Universe
Unrevealed,Secret,None known,https://www.marvel.com/characters/appraiser,Appraiser,Appraiser,Unrevealed,Marvel Universe
Unknown,The fact that he is an alien is not widely known.,"Hektu (father, deceased), Soja (mother, deceased)",https://www.marvel.com/characters/aquarian,Aquarian,Herald of the New Age,"Dakkam, second planet in the R Aquarii system (Earth designation)",Marvel Universe
Unrevealed; some military training,Known to the authorities,Unrevealed,https://www.marvel.com/characters/aqueduct,Aqueduct,Water Wizard,"Chicago, Illinois",Marvel Universe
"Unrevealed, but Omen referred to him as mindless",Secret,Unrevealed,https://www.marvel.com/characters/aquon,Aquon,None,Unrevealed,Marvel Universe
College degrees,Secret,"Maya, Rana, Almira (wives); Faisal, Hassim (sons); unnamed son; unnamed ancestor (deceased)",https://www.marvel.com/characters/arabian-knight-abdul-qamar,Arabian Knight,Unrevealed,"Aqabah, Saudi Arabia",Marvel Universe
"College dropout, federal agent training","Secret, known to certain government officials","Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)",https://www.marvel.com/characters/arachne-julia-carpenter,Arachne,Spider-Woman; considered using Ariadne,"Los Angeles, California",Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/araki,Araki,Grand Vizier,"The Aerie, Shi'ar Empire",Marvel Universe
"Unrevealed, but she presumably has at least a high-school education and extensive training in singing, dancing and acting",Publicly known,None,https://www.marvel.com/characters/aralune,Aralune,"""Becky""","Unrevealed, but possibly somewhere in Texas",Marvel Universe
Unrevealed,Secret,None,https://www.marvel.com/characters/arc,Arc,None,Unrevealed planet in the Shi'ar Empire,Marvel Universe
Unrevealed,Secret,Unidentified parents (deceased),https://www.marvel.com/characters/arcade,Arcade,"Mister A, ""Mad Monk"", Pinball Wizard, A.R. Cadenski","Beverly Hills, Los Angeles, California (allegedly)",Marvel Universe
Doctorate in quantum physics,Known to the general public,Unrevealed,https://www.marvel.com/characters/arcanna,Arcanna,None,Unrevealed,Earth 31916
Unknown,Publicly known on the planet Sakaar; the general populace of Earth was unaware of Arch-E-5912's existence.,Unrevealed,https://www.marvel.com/characters/arch-e-5912,Arch-E-5912,None known,Unknown location on the planet Sakaar,Marvel Universe
Unrevealed; some military training,Secret,Unrevealed,https://www.marvel.com/characters/arclight,Arclight,None,Unrevealed,Marvel Universe
Private tutoring and military training,Publicly known in Microverse,"Dallan and Sepsis Rann (parents, deceased), Wayfinder (ancestor, deceased)",https://www.marvel.com/characters/arcturus-rann,Arcturus Rann,Formerly Captain Universe,"Homeworld, the Microverse",Marvel Universe
Tutored by Olympian scholars,,Known to S.H.I.E.L.D. authorities,"Alexander (son); Deimos, Phobos (sons, deceased), Monstro (alleged son); Harmonia (daughter); Zeus (father); Hera (mother); Hephaestus (brother); Athena, Hebe (sisters); Apollo, Dionysus, Hercules, Hermes (half-brothers);  Aphrodite, Artemis, Persephone (half-sisters); Neptune and Pluto (uncles); Demeter and Vesta (aunts); Chronus (grandfather); Rhea (grandmother); Ouranos (great-grandfather); Gaea (great-grandmother); numerous other relatives",https://www.marvel.com/characters/ares,Ares,"Mars (Roman name), John Aaron, Mr. Talon, Warhawk",Olympus,Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/aria,Aria,None,Zenna,Marvel Universe
Unknown,Publicly known in Kree Empire,"Falzon (father), Murius (mother, deceased)",https://www.marvel.com/characters/arides,Arides,None,Hala,Marvel Universe
None,None,None,https://www.marvel.com/characters/arishem,Arishem,None,None,Marvel Universe
unrevealed,General populace of Earth is unaware of his existence,unrevealed,https://www.marvel.com/characters/arize,Arize,unrevealed,unrevealed,Marvel Universe
Unrevealed,Secret,Maria (wife),https://www.marvel.com/characters/armadillo,Armadillo,None,"San Antonio, Texas",Marvel Universe
Unrevealed,Secret,"Unidentified father (deceased), unidentified wife (deceased), unidentified son (deceased), Trauma (son, deceased)",https://www.marvel.com/characters/armageddon-arm-chedon,Armageddon,Warlord of the Troyjan,Troyjan home world,Marvel Universe
"Various courses at Xavier Institute For Higher Learning, Westchester, New York",Known to authorities,Unidentified ancestors,https://www.marvel.com/characters/armor-hisako-ichiki,Armor,None,Unrevealed,Marvel Universe
Unrevealed,Secret,None,https://www.marvel.com/characters/armorer,Armorer,Zahgurim's servant,Unrevealed,Marvel Universe
Advanced degree in 1930’s sciences,,No dual identity,Unrevealed,https://www.marvel.com/characters/arnim-zola,Arnim Zola,Bio-Fanatic,"Weisshorn Mountain, Switzerland",Marvel Universe
College graduate,Publicly known,None,https://www.marvel.com/characters/arranger,Arranger,None,"Westport, Connecticut",Marvel Universe
Unrevealed,Unrevealed,Unrevealed,https://www.marvel.com/characters/arsenal,Arsenal,Unrevealed,Unrevealed,Marvel Universe
Unknown,Secret,"Dr. Carl Maddicks (father, deceased)",https://www.marvel.com/characters/artie-maddicks,Artie Maddicks,None,unknown,Marvel Universe
Unrevealed,No dual identity,"Hippolyta (mother), Ares (grandfather), Otera (grandmother, possibly deceased), Zeus (great-grandfather)",https://www.marvel.com/characters/artume,Artume,None,Olympus,Marvel Universe
College graduate,Secret,"Killer Murdock (brother, deceased)",https://www.marvel.com/characters/asbestos-lady,Asbestos Lady,None,Unrevealed,Marvel Universe
Ph.D. in analytical chemistry,Known to authorities,Unrevealed,https://www.marvel.com/characters/asbestos-man,Asbestos Man,None,Unrevealed,Marvel Universe
None,None,None,https://www.marvel.com/characters/asgardians,Asgardians,None,None,None
Junior high school student,Secret,"Fritz Woolcot (father, deceased), Evelyn Woolcot (mother), Dylan Pattinson (adoptive father)",https://www.marvel.com/characters/ashcan,Ashcan,None,"New York City, New York",Marvel Universe
Unrevealed,Existence unknown to the general public,"Numerous offspring via Lilith; possibly Beliar (son), possible quasi-parental relationship to Daimon and Satana Hellstorm",https://www.marvel.com/characters/asmodeus,Asmodeus,"Azmodeus, Lord Asmodeus, ; possibly Asmodiar",Unrevealed,Marvel Universe
Unrevealed,Secret,Unrevealed,https://www.marvel.com/characters/asp-cleo-nefertiti,Asp,The Temptress (her stage name),"Tanta, Egypt",Marvel Universe
Inapplicable,No dual identity,Inapplicable,https://www.marvel.com/characters/assassin-mimeyoshi,Assassin,Mimeyoshi,Inapplicable,Marvel Universe
Unrevealed,Extradimensional demon,Unrevealed,https://www.marvel.com/characters/asteroth,Asteroth,Omega Ray,Unrevealed,Marvel Universe
Unrevealed,Secret,None,https://www.marvel.com/characters/astra,Astra,None,Unrevealed planet in the Shi'ar Empire,Marvel Universe
None,The general populace of Earth is unaware of the Astronomer's existence,None known,https://www.marvel.com/characters/astronomer,Astronomer,None,Unrevealed,Marvel Universe
High school dropout,Publicly known,Unrevealed,https://www.marvel.com/characters/asylum-henrique-gallante,Asylum,"Darkling, Henry Gallante, Manny Gallante",Unrevealed,Marvel Universe
Unrevealed,Publicly known,Unknown,https://www.marvel.com/characters/atalon-earth-93060,Atalon,None,Unrevealed,Ultraverse (Earth-93060)
"High school dropout, military training",,Publicly known,"Parents (full names unrevealed, deceased), Carl Josten (brother, deceased), Conrad Josten (Smuggler, brother), Lindy Josten (sister, deceased)",https://www.marvel.com/characters/atlas-erik-josten,ATLAS,"Power Man, Smuggler, Goliath","Milwaukee, Wisconsin",Marvel Universe
Unrevealed,Publicly known,None,https://www.marvel.com/characters/atlas-steve-rand,Atlas,None,"Hollywood, California",Marvel Universe
Unrevealed,Unknown to general populace of Earth,None,https://www.marvel.com/characters/atlez,Atlez,Anchor of the 616 universe reality,Unrevealed,Marvel Universe
Data transferred from Atlez's mind; mentored by Adam Warlock,No dual identity; true nature unknown to general public,"Brian Langunn (father), Debby Langunn (mother), Ruby Langunn (sister)",https://www.marvel.com/characters/atleza,Atleza,unrevealed,"Pine Bush, New York",Marvel Universe
"Unrevealed, presumably Michael has extensive knowledge in atomic energy and nuclear physics",Secret,"Ronald English (brother, deceased)",https://www.marvel.com/characters/atom-smasher-michael-english,Atom-Smasher,None,Unrevealed,Marvel Universe
"Unrevealed, presumably Ronald has extensive knowledge in atomic energy and nuclear physics",Known to authorities,"Michael English (brother, deceased)",https://www.marvel.com/characters/atom-smasher-ronald-english,Atom-Smasher,None,Unrevealed,Marvel Universe
None,None,None,https://www.marvel.com/characters/att-lass,Att-Lass,None,None,None
Unrevealed,No dual identity,Andromeda (daughter),https://www.marvel.com/characters/attuma,Attuma,None,Northern Atlantic Ocean,Marvel Universe
Approximately 1 billion years life experience,True nature unknown the general public,"Gaea (mother); Demiurge (father); Chthon, Set, Belathauzer, Y'Garon (uncles); Ogdoad (uncertain relationship); Ennead (offspring); Thor (half-brother); related to most of Earthly god pantheons, many others",https://www.marvel.com/characters/atum,Atum,"The God Eater, Demogorge, Ra, Ammon Ra",Subterran caverns deep within caverns,Marvel Universe
Unrevealed,No duel identity,Unrevealed,https://www.marvel.com/characters/augustus-beezer-ultimate,Augustus Beezer,None,Unrevealed,None
High School graduate,No dual identity,"Ben Parker (husband, deceased), Richard Parker (brother-in-law, deceased), Mary Parker (sister-in-law, deceased), Peter Parker (Spider-Man, nephew), Horace Reilly (paternal uncle, deceased)",https://www.marvel.com/characters/aunt-may-may-parker,Aunt May,"Aunt May, May Reilly, May","Brooklyn, New York",Marvel Universe
None,None,None,https://www.marvel.com/characters/auran,Auran,None,None,None
Madame DuPont's School for Girls,Secret,"Jean-Baptiste Beaubier (father, deceased), unidentified mother (deceased), Jean-Paul Beaubier (Northstar, twin brother) Joanna Beaubier (adopted niece, deceased); Lois and Genevieve Martin (first cousins once removed/adopted parents, deceased)",https://www.marvel.com/characters/aurora,Aurora,Once mistaken for Danielle Belmonde,"Montreal, Quebec, Canada",Marvel Universe
Extensively self-educated,Existence unknown to general public,"Nicole Mendez (wife, deceased), Rafael Mendez (father, deceased)",https://www.marvel.com/characters/authority,Authority,unrevealed,Unrevealed,Marvel Universe
Unrevealed,Secret (known to the U.S. government),Kitty Pride (girl friend),https://www.marvel.com/characters/avalanche,Avalanche,Jon Bloom,"Crete, Greece",Marvel Universe
Unrevealed,The general inhabitants of Earth were unaware of Avarrish's existence,None known,https://www.marvel.com/characters/avarrish,Avarrish,None known,Unrevealed,Marvel Universe
Unrevealed,The general populace of Earth was unaware of her existence,None,https://www.marvel.com/characters/avoe,Avoe,None,Unrevealed,Marvel Universe
None,No dual identity,"Mad Thinker (creator),quasimodo (brother),mister fantastic (designer)",https://www.marvel.com/characters/awesome-andy,Awesome Andy,unrevealed,unrevealed,Marvel Universe
Unrevealed,Known to the inhabitants of Sakaar; the general populace of Earth is unaware of the Axeman Bone’s existence.,None known,https://www.marvel.com/characters/axeman-bone,Axeman Bone,None,Unknown location on the planet Sakaar,Marvel Universe
"Unrevealed, but Axon received military training",Secret,"Unidentified husband (deceased), unidentified children (deceased)",https://www.marvel.com/characters/axon,Axon,None,Unrevealed,Marvel Universe
Unrevealed,No dual identity,"Unidentified father (deceased), unidentified mother, Benjamin ""Benny"" Broughton (son)",https://www.marvel.com/characters/axum,Axum,Battler,"Jersey City, New Jersey",Marvel Universe
Unrevealed,None,"Kurt Wagner (Nightcrawler, son), Nils Styger (Abyss, son), Kiwi Black (son), numberous other offspring (deceased)",https://www.marvel.com/characters/azazel,Azazel,"Beelzebub, Satan, Duma, Keriel, Mastema, Beliar, Gadreel, numerous others","Isla des Demonas, Caribbean Sea",Marvel Universe
Unrevealed,No dual identity; existence unknown to general public,"Anu (father), Asherah (mother), Anath (wife, separated), Dagon, Martu, Ninurta (brothers), Inanna/Ishtar (sister), Nergal, Ningal (half-brothers), Ea (uncle), Ereshkigal (aunt), Ullikumis (nephew), Marduk (cousin), Sà-Bal-Bal (descendant), many others",https://www.marvel.com/characters/ba-al,Ba'al,unrevealed,"Nippur, Sumeria (now part of modern Iraq)",Marvel Universe
Unrevealed,No dual identity; existence unknown to the general public,"Anath (wife, separated), Sa-Bal-Bal (descendant), Anu (father), Asherah (mother), Dagon, Martu, Ninurta (brother), Inanna/Ishtar (sister), Nergal, Ningal (half-brothers), Ea (uncle), Ereshkigal (aunt), Ullikumis (nephew), Marduk (cousin), many others",https://www.marvel.com/characters/ba-al-ba-al-hadad,Ba'al,"Adad, Iskur, Lord, Master, Taru, Tesup, Tesup, Teshub; Ba'al the Voracious, the Unforgiving, the immutable, the Unfathomable","Nippur, Sumeria (now part of modern Iraq)",Marvel Universe
None,None,None,https://www.marvel.com/characters/bakuto,Bakuto,None,None,None
Unrevealed,No dual identity; the majority of Earth's population believes Balder to be a mythological figure,"Buri (Tiwaz, great-grandfather); Bor (grandfather, deceased); Odin (father, deceased); Frigga (mother); Hermod, Tyr (brothers); Thor, Vidar (half-brothers); Loki (step-brother); Ve, Vili (uncles, deceased); Hoder (cousin); Mimir (granduncle)",https://www.marvel.com/characters/balder,Balder,The Brave,Asgard,Marvel Universe
None,No dual identity,None,https://www.marvel.com/characters/balkaa,Balkaa,None,Vellus-Kar,Marvel Universe
College graduate,No dual identity,"Jordan (last name unrevealed, son)",https://www.marvel.com/characters/bambi-modica,Bambi Modica,None,Unrevealed,Marvel Universe
Unrevealed,Secret,Unknown,https://www.marvel.com/characters/ban-luck,Ban-Luck,None known,Unrevealed,Marvel Universe
Unrevealed,Secret,None,https://www.marvel.com/characters/bang,Bang,None,Unrevealed,Marvel Universe
"Bachelor of Science degree from Trinity College, Dublin; police academy",,Publicly known,"Maeve Rourke Cassidy (wife, deceased), Theresa Rourke Cassidy (Siryn, daughter), Thomas Cassidy (Black Tom, cousin), Victoria ""Tori"" Donnely (Maeve's cousin), Liam Cassidy (ancestor, deceased)",https://www.marvel.com/characters/banshee,Banshee,"Irish, presumably many undercover aliases","Cassidy Keep, County Mayo, Ireland",Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/bantam,Bantam,None,Unrevealed,"Marvel Universe, formerly Earth-1191"
Unrevealed,Secret,None,https://www.marvel.com/characters/barbarus,Barbarus,None,"Savage Land, Antarctica",Marvel Universe
Unrevealed,Secret,None,https://www.marvel.com/characters/barnacle,Barnacle,None,Unrevealed,Marvel Universe
Unknown,Known to European and US Government,"Spitfire (Jacqueline Falsworth Crichton, niece), Baron Blood (Crichton) (Kenneth Crichton, Grandnephew), Union Jack (Brian Falsworth) (nephew, deceased), Union Jack (Montgomery Falsworth) (brother, deceased), William Falsworth (father, deceased)",https://www.marvel.com/characters/baron-blood-falsworth,Baron Blood,"Dr. Charles Cromwell, John Falsworth Jr.","Falsworth Manor, England",Marvel Universe
Unrevealed,Secret,"Baron Helmut Zemo (son, deceased)",https://www.marvel.com/characters/baron-heinrich-zemo-counter-earth,Baron Heinrich Zemo,Unrevealed,"Germany, Counter-Earth",Marvel Universe
None,None,None,https://www.marvel.com/characters/baron-mordo-karl-mordo,Baron Mordo,None,None,None
University graduate,,No dual identity,"Andrea von Strucker (daughter, deceased), Andreas von Strucker (Swordsman, son), Werner von Strucker (son, deceased), Elsbeth von Strucker (third wife, deceased)",https://www.marvel.com/characters/baron-strucker,Baron Strucker,unrevealed,"Strucker Castle, Bavaria, Germany",Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/baron-von-blitzschlag,Baron von Blitzschlag,None,Unrevealed,Marvel Universe
Unrevealed,No dual identity,None,https://www.marvel.com/characters/baron-zebek,Baron Zebek,None,Homeworld,Marvel Universe
Doctorate Degree,Publicly Known,"Harbin Zemo (distant ancestor), Hademar Zemo (distant ancestor), Heller Zemo (distant ancestor), Herbert Zemo (distant ancestor), Helmuth Zemo (distant ancestor), Hackett Zemo (distant ancestor), Hartwig Zemo (distant ancestor), Hilliard Zemo (distant ancestor), Hobart Zemo (grandfather), Herman Zemo (father), Hilda Zemo (Wife; Deceased), Helmut Zemo(Son), Heike Zemo (daughter-in-law)",https://www.marvel.com/characters/baron-zemo-heinrich-zemo,Baron Zemo,None known,"Castle Zemo, Germany",Marvel Universe
College graduate,,Publicly known,"Heinrich Zemo (father, deceased), Hilda Zemo (mother, deceased), Heike Zemo (Baroness, wife, reportedly deceased), Harbin Zemo (ancestor, deceased)",https://www.marvel.com/characters/baron-zemo-helmut-zemo,BARON ZEMO,"Iron Cross, Citizen V, Mark Evanier, Phoenix","Leipzig, Germany",Marvel Universe
Unrevealed,No dual identity,Helmut Zemo (ex-husband),https://www.marvel.com/characters/baroness-heike-zemo,Baroness,unrevealed,Unrevealed,Marvel Universe
Unknown,Secret,"Dr. Jacob Cromwell (father, deceased), unnamed sister (deceased), John Crichton (son)",https://www.marvel.com/characters/baroness-blood,Baroness Blood,"Baroness, Kenneth Crichton","Essex, England",Marvel Universe
Unrevealed,Unknown to the inhabitants of Earth; publicly known in the Skrull Empire,None known,https://www.marvel.com/characters/baroness-s-bak,Baroness S'Bak,"Baroness, Baron S'Bak",Unrevealed,Marvel Universe
Basher presumably received some training from the Springdale Police Department before he dropped out of the force,Known to authorities,Unrevealed,https://www.marvel.com/characters/basher,Basher,None,Unrevealed,Marvel Universe
Unrevealed,Secret,Unrevealed,https://www.marvel.com/characters/basilisk-basil-elks,Basilisk,None,"Norristown, Pennsylvania",Marvel Universe
Unrevealed,Secret,Unrevealed,https://www.marvel.com/characters/basilisk-proto-husk,Basilisk,None,"Arnim Zola’s laboratory; Dallas, Texas",Marvel Universe
Inapplicable,Secret,"Rose Gilberti (foster mother, deceased)",https://www.marvel.com/characters/bastion,Bastion,"Template, Sebastion Gilberti, Nimrod, Master Mold",Inapplicable,Marvel Universe
Inapplicable,Inapplicable,"Super-Adaptoid (original design/creator), Adaptoids (fellow Adaptoids), Super-Adaptoid II (Yelena Belova) (fellow Adaptoid), Adaptoid (New Enforcers) (fellow Adaptoid), Paragon (fellow Adaptoid), Ultra-Adaptoid (fellow Adaptoid), A.I.M. (creator)",https://www.marvel.com/characters/batch-13,Batch-13,Adaptoid,Inapplicable,Marvel Universe
Unrevealed,Secret,none,https://www.marvel.com/characters/battering-ram,Battering Ram,None,Unrevealed,Marvel UniverseEarth-616
Unrevealed,Known to the U.S. Government,None,https://www.marvel.com/characters/battlestar,Battlestar,Bucky,"Chicago, Illinois",Marvel Universe
High school,Publicly known,"Dr. Antonio Santini (father, deceased), Carlotta Santini (mother)",https://www.marvel.com/characters/batwing,Batwing,Jimmy,"Santa Fe, New Mexico",Marvel Universe
Some college-level courses,Secret,"Charles (father), Kathy (mother), Angel Salvadore (wife), Tito (son), Axel (son), Kara (daughter), three unidentified children",https://www.marvel.com/characters/beak,Beak,Blackwing,"Cheverly, Maryland (Marvel Encyclopedia 2006: Rotterdam, the Netherlands)",Marvel Universe
Student at Carlos Javier’s school,Publicly known,Unnamed mother and father,https://www.marvel.com/characters/beast-earth-311,Beast,None,England,Marvel 1602 (Earth-311)
Ph.D. Biophysics,,Publicly known,"Sadie McCoy (grandmother), Edna McCoy (mother), Norton McCoy (father), Robert McCoy (uncle)",https://www.marvel.com/characters/beast-henry-mccoy,Beast,"Formerly Kreature, Mutate #666","Dundee, Illinois",Marvel Universe
"College graduate, taking post-graduate courses at time of death",Publicly known,"Norton McCoy (father), unnamed mother",https://www.marvel.com/characters/beast-ultimate,Beast,"Beast 666, X11",Unrevealed,Ultimate Universe
None,None,None,https://www.marvel.com/characters/beautiful-dreamer,Beautiful Dreamer,None,None,None
Unrevealed,Secret,"Kyle (father, deceased), Nina (mother, deceased), Christopher (King Bedlam, brother)",https://www.marvel.com/characters/bedlam-jesse-aaronson,Bedlam,Jesse Bedlam,Unrevealed,Marvel Universe
None,Secret,None,https://www.marvel.com/characters/beef,Beef,None,Unrevealed,Marvel Universe
Some college,Unrevealed,Unrevealed,https://www.marvel.com/characters/beetle-joaquim,Beetle,Unrevealed,Unrevealed,Marvel Universe
Unrevealed,Known to government,"Anthony ""Tony"" Davis (Ringer, husband, deceased)",https://www.marvel.com/characters/beetle-leila-davis,Beetle,Hardshell,Unrevealed,Marvel Universe
Some college,Unrevealed,Unrevealed,https://www.marvel.com/characters/beetle-mk-ii,Beetle,Unrevealed,Unrevealed,Marvel Universe
Some college,Unrevealed,Unrevealed,https://www.marvel.com/characters/beetle-mk-iii,Beetle,Unrevealed,Unrevealed,Marvel Universe
Unrevealed,No dual identity,Witchfire (daughter); several other demonic offspring,https://www.marvel.com/characters/belasco,Belasco,Lucifer,"Florence, Italy",Marvel Universe
Unrevealed,Secret,None,https://www.marvel.com/characters/bella,Bella,None,Unrevealed,Marvel Universe
Unrevealed,No dual identity,"Marius Boudreaux (father, deceased), Julien Boudreaux (brother, deceased), Remy LeBeau (Gambit, ex-husband), Jean-Luc LeBeau (ex-father-in-law), Henri LeBeau (ex-brother-in-law, deceased)",https://www.marvel.com/characters/bella-donna-boudreaux,Bella Donna Boudreaux,"Belladonna, Belle, Bel","New Orleans, Louisiana",Marvel Universe
Unrevealed,No dual identity,"Hera (mother), Zeus (father), Ares, Hephaestus(brothers) Hebe(sisters), Apollo, Dionysus, Hermes, Hercules (half-brothers), Artemis, Athena, Venus, Persephone (half-sisters), Neptune, Pluto (uncles),",https://www.marvel.com/characters/bellona,Bellona,"Angerona ,  Enyo, Discord",Olympus,Marvel Universe
High school graduate,No dual identity,"May Parker-6078 (wife, deceased), Richard Parker-6078 (brother, deceased), Mary Parker-6078 (sister-in-law, deceased), Peter Parker-6078 (Spider-Man-6078, nephew)",https://www.marvel.com/characters/ben-parker-earth-6078,Ben Parker,None,"Brooklyn, New York",Earth-6078
